Atividade	Descrição Atividade	Cadencia
Cobrança mensal de pagamentos B2B em atraso	Verificação sistemática de inadimplência em contratos B2B Alumni, com geração de relatório de engajamento e acionamento do financeiro para cobrança. Garante que empresas clientes mantenham pagamentos em dia mediante evidências de entrega de valor (presença, atividade, engajamento dos alunos).	mensal
Recuperar Alunos B2B Inativos	Atividade de reativação de alunos de clientes B2B que pararam de acessar ou concluir cursos. Visa identificar causas de inatividade e aplicar estratégias de re-engajamento personalizadas para cada conta corporativa. Foco em recuperar investimento do cliente e evitar churn de contrato.	eventual
Relatório Mensal Personalizado para RH de Parceiros B2B	Elaboração e entrega de relatórios customizados para departamentos de RH de empresas parceiras B2B, consolidando métricas de assiduidade, desempenho e engajamento dos colaboradores-alunos. Serve como instrumento de acompanhamento estratégico e prestação de contas do valor da parceria educacional.	mensal
Elaborar roteiro de vídeo marketing para cliente B2B	Criação de roteiro estruturado para vídeos de marketing direcionados a clientes corporativos do vertical Alumni. O conteúdo deve alinhar proposta de valor, casos de sucesso e chamadas para ação específicas ao perfil de cada Key Account.	eventual
Onboarding inicial de empresa parceira B2B	Reunião estruturada de boas-vindas e alinhamento com novas empresas parceiras B2B. Apresenta o ecossistema da plataforma, define expectativas mútuas, esclarece processos de integração e estabelece os próximos passos da parceria. Garante que o parceiro compreenda seu papel, benefícios e responsabilidades desde o primeiro contato pós-venda.	eventual
Gravar vídeos de marketing para clientes B2B	Produção de material audiovisual personalizado para empresas parceiras, apresentando soluções, cases de sucesso ou conteúdos institucionais que fortaleçam o relacionamento comercial e demonstrem valor agregado aos key accounts.	eventual
Relacionamento ativo semanal com RHs de contas B2B	Realizar contato estruturado com gestores de RH das empresas-cliente B2B para fortalecer o vínculo comercial, identificar novas oportunidades e antecipar necessidades. Essa rotina de touchpoint garante presença constante, coleta feedback sobre a experiência dos alunos corporativos e mapeia sinais de expansão ou renovação de contratos.	semanal
Acompanhamento diário de performance do Key Account B2B	Supervisão e suporte ao trabalho do Key Account Manager (Gilberto) na gestão de contas B2B corporativas. Inclui revisão de pipeline, alinhamento de estratégias de abordagem, identificação de blockers e garantia de aderência aos processos comerciais da vertical Alumni.	diaria
Suporte Comercial B2B2C via CRM	Gestão diária de oportunidades, leads e relacionamento com parceiros B2B2C no CRM Clint. Garante atualização de pipeline, resposta a demandas comerciais e acompanhamento de negociações em andamento. Atividade crítica para manter visibilidade do funil e garantir follow-up adequado com empresas parceiras.	diaria
Campanhas mensais de desconto para parceiros B2B2C	Execução mensal de campanhas promocionais direcionadas às empresas parceiras que atuam no modelo B2B2C, oferecendo descontos estratégicos (ex.: 20% off) para incentivar aquisição e retenção de alunos via canais corporativos. A atividade envolve planejamento da oferta, segmentação de parceiros elegíveis e disparo coordenado das comunicações.	mensal
Prospectar parcerias de divulgação com rádios (modelo híbrido)	Identificar e negociar parcerias com emissoras de rádio para divulgação de cursos da Better Edtech, combinando investimento pago com permuta. A rádio promove o curso com condições exclusivas para sua audiência, gerando lead qualificado e brand awareness.	eventual
Atualizar dashboard de acompanhamento de campanhas (mensal)	Consolidação mensal dos indicadores de performance das campanhas de marketing Alumni no dashboard corporativo. Realizada até o 4º dia útil do mês subsequente para garantir dados atualizados nas análises gerenciais e prestação de contas do fechamento mensal.	mensal
Relatório analítico de campanhas Google Ads Alumni	Consolidação mensal dos resultados de tráfego pago no Google Ads para a vertical Alumni. Analisa métricas de performance, ROI e conversões das campanhas. Entregue até o 4º dia útil do mês seguinte para subsidiar decisões comerciais e ajustes de budget.	mensal
Alinhamento semanal de campanhas pagas com agência	Reunião estruturada com a agência parceira para revisar performance das campanhas Meta Ads e Google Ads, ajustar estratégias de investimento e aprovar novos criativos. Garante sincronização entre expectativas comerciais e execução tática de mídia paga para aquisição de alunos Alumni.	semanal
Análise mensal de funil de vendas e conversão	Análise completa do desempenho do funil comercial de Alumni, avaliando entrada de leads, distribuição entre vendedores e taxas de conversão por etapa. Identifica gargalos, oportunidades de melhoria e subsidia decisões de otimização do processo comercial e alocação de recursos.	mensal
Alinhamento Estratégico Mensal de Campanhas Alumni	Reunião estratégica mensal realizada entre os dias 20-25 para definir o planejamento de marketing do mês seguinte. Envolve alinhamento de budget, priorização de campanhas e ajustes estratégicos com a agência parceira. Garante direcionamento unificado entre operação interna (Helen, Pedro) e agência (Thiago).	mensal
Gravar vídeos para campanhas de marketing mensais	Produção mensal de conteúdo audiovisual para campanhas de marketing direcionadas ao público Alumni. Inclui gravação, edição básica e preparação de vídeos conforme briefing e calendário editorial aprovado, garantindo alinhamento com objetivos comerciais e identidade da marca.	mensal
Remarketing Alumni — Reativação de Base com Oferta Progressiva	Disparo semanal de e-mail para base de leads inativos (ex-alunos e prospects frios) aplicando estratégia de desconto progressiva ou temática. Objetivo: reativar interesse comercial, estimular conversão e otimizar receita recorrente da vertical Alumni através de oferta direcionada.	semanal
Elaborar roteiros para influenciadores da campanha mensal	Criação de roteiros estruturados para influenciadores produzirem conteúdo alinhado à campanha mensal definida pela gestão de marketing. Os roteiros são enviados aos criadores, que gravam e enviam vídeos para aprovação antes da publicação nas redes sociais (Instagram, TikTok, LinkedIn).	semanal
Prospectar e mapear novos influenciadores para parcerias	Atividade semanal de pesquisa e identificação de novos influenciadores digitais com potencial de parceria para promover os produtos e serviços da vertical Alumni. Visa ampliar o alcance da marca através de creators alinhados com os valores da Better Edtech e com audiência no público-alvo (profissionais, estudantes, carreiras).	semanal
Monitorar performance de influenciadores na Eluve	Acompanhamento semanal das postagens e métricas de engajamento dos embaixadores Alumni na plataforma Eluve. Cada influenciador possui landing page personalizada para rastreamento de conversões, permitindo avaliar o retorno individual de cada parceria e ajustar estratégias de ativação.	semanal
Envio de mensagem de boas-vindas, 7 dias e 30 dias após matrícula	Identificação de alunos que completaram 7 dias de matrícula e disparo de mensagem de boas-vindas personalizada para fortalecer vínculo inicial. Atividade de onboarding que verifica novos ingressantes e envia comunicação de acolhimento no momento estratégico da jornada do aluno.	eventual
Atendimento ao Aluno B2C (Clint e E-mail)	Responder solicitações e dúvidas de alunos pessoa física (B2C) através dos canais Clint (chat interno) e e-mail institucional. Garantir resolução de primeiro nível para questões sobre acesso, conteúdo, certificados, pagamentos e suporte pedagógico. Atendimento contínuo das 7h às 21h em regime de revezamento.	diaria
Monitoramento de turmas e cobertura emergencial de sessões	Acompanhamento em tempo real das turmas ativas para identificar sessões em alerta (ausência de facilitador) e garantir cobertura imediata através de entrada emergencial em sala. Atividade preventiva que assegura continuidade da experiência de aprendizado e evita cancelamentos ou insatisfação de alunos.	diaria
Atendimento pedagógico individual com aluno	Sessão 1-1 entre time pedagógico e aluno para resolução de dúvidas, orientação de estudos e acompanhamento de progresso. Foca em personalizar a jornada de aprendizagem, identificar blockers e oferecer suporte direcionado para maximizar engajamento e resultados.	eventual
Corrigir Testes de Nivelamento de Inglês de Alunos	Avaliar e corrigir provas de nivelamento de inglês realizadas por alunos da vertical Alumni. A correção determina o nível de proficiência atual do aluno e seu posicionamento no programa de ensino, garantindo experiência personalizada e adequada ao conhecimento prévio.	eventual
Corrigir nivelamento de espanhol dos alunos	Avaliar e corrigir os testes de nivelamento de proficiência em espanhol realizados pelos alunos da vertical Alumni. O processo garante o posicionamento correto do aluno no nível adequado do curso (básico, intermediário ou avançado), assegurando experiência de aprendizado personalizada e eficaz.	eventual
Agendar Consultoria de Retenção com Aluno em Risco de Churn	Processo de identificação e agendamento proativo de sessão de consultoria individualizada com alunos que apresentam sinais de evasão ou baixo engajamento. Visa criar ponto de contato estruturado para compreender barreiras, resgatar motivação e construir plano de ação personalizado que mantenha o aluno ativo na jornada.	eventual
Consultoria de Retenção por Videoconferência	Sessão individual de atendimento em videoconferência com alunos em risco de cancelamento, conduzida para compreender objeções, apresentar alternativas de permanência (incluindo migração para planos private) e reverter a decisão de saída. Faz parte da estratégia ativa de retenção da base Alumni.	eventual
Agendar Consultoria Private Alumni Black	Coordenar o agendamento de sessões de consultoria especializada para alumni do plano Black que contrataram serviços de Private Banking. Essa atividade garante o contato personalizado e o alinhamento de expectativas entre consultores e clientes premium.	eventual
Consultoria Private Alumni Black em Videoconferência	Sessão individual de consultoria remota com aluno Alumni Black, abrangendo diagnóstico 360° do perfil, entrega de materiais personalizados e definição de jornada de estudos. Atende diferentes momentos do ciclo de vida: onboarding de novos alunos, reorientação de ativos e ações de retenção.	eventual
Treinamento presencial de capacitação para aulas private alumni black	Treinamento operacional e pedagógico de professores presenciais para ministrarem aulas particulares (private) no produto Alumni Black. Garante alinhamento metodológico, domínio de ferramentas e qualidade de entrega nas sessões individualizadas de alta performance.	eventual
Atender chamados operacionais e de infraestrutura	Receber, categorizar e resolver solicitações operacionais internas relacionadas a equipamentos, acessos, infraestrutura física e demandas administrativas urgentes. Inclui desde suporte técnico (computadores, periféricos) até gestão de recursos físicos (estacionamento, espaço) e documentações especiais.	eventual
Consolidar e Publicar Relatório Mensal de Marketing Alumni	Compilação e análise dos principais indicadores de marketing da vertical Alumni, consolidando dados de campanhas, performance de canais, conversões e ROI. O relatório fornece visibilidade sobre efetividade das ações de aquisição e engajamento, subsidiando decisões estratégicas da área comercial e de produto.	mensal
Fechar Relatório Mensal de Retenção de Alunos Alumni	Consolidação mensal dos indicadores de retenção da vertical Alumni, analisando taxa de permanência, churn, engajamento e principais motivos de evasão. O relatório subsidia decisões estratégicas de retenção e permite acompanhar a evolução da base ativa de ex-alunos ao longo do tempo.	mensal
Fechamento Mensal de Relatório de Cobrança	Consolidação e análise dos dados de cobrança do mês, incluindo inadimplência, recuperação de valores e status de pagamentos dos alunos Alumni. O relatório subsidia decisões financeiras e ações de relacionamento com clientes em atraso.	mensal
Fechamento Mensal de Relatório de Faturamento B2B	Consolidação e análise do faturamento mensal de contratos B2B da vertical Alumni. Envolve compilação de dados de vendas corporativas, reconciliação com informações financeiras e geração de relatório executivo para acompanhamento de receita e performance comercial de clientes institucionais.	mensal
Fechar Relatório Mensal de Faturamento B2C	Consolidação e fechamento do relatório mensal de faturamento da base de alunos pessoa física (B2C), incluindo receitas, cancelamentos e indicadores de performance comercial. Este relatório fornece visibilidade financeira para tomada de decisão estratégica e acompanhamento de metas da vertical Alumni.	mensal
Fechar Relatório Mensal de Despesas em Cartão Corporativo	Consolidação e prestação de contas das despesas realizadas em cartão de crédito corporativo pela célula Alumni. Garante rastreabilidade, conformidade fiscal e alimentação correta dos registros financeiros para controle orçamentário e auditoria.	mensal
Fechar relatório mensal de despesas administrativas	Consolidação mensal das despesas operacionais da célula Alumni, incluindo categorização, validação de comprovantes e apuração de saldos. Assegura controle financeiro, rastreabilidade de gastos e alimentação do fluxo de caixa da área administrativa.	mensal
Fechar relatório mensal de folha de pagamento	Consolidação e fechamento do relatório mensal de folha de pagamento da vertical Alumni, incluindo validação de dados de colaboradores, encargos, benefícios e repasses. Garante conformidade legal e insumos para contabilidade e controle financeiro.	mensal
Fechamento Mensal de Relatório de Custos Alumni	Consolidação mensal de todos os custos operacionais da vertical Alumni, incluindo despesas fixas, variáveis e investimentos. O relatório permite acompanhar a evolução financeira da área, identificar desvios orçamentários e subsidiar decisões estratégicas de alocação de recursos.	mensal
Fechar Relatório Mensal de Royalties Alumni	Consolidação mensal dos pagamentos de royalties devidos aos ex-alunos (Alumni) que mantêm vínculo financeiro com a instituição, seja por indicação, co-criação de conteúdo ou outras modalidades de parceria. Garante transparência, rastreabilidade e conformidade nos repasses financeiros acordados contratualmente.	mensal
Comparecimento em Audiências Judiciais	Representação institucional da empresa em audiências judiciais trabalhistas, cíveis ou tributárias, conforme convocação formal. Garante presença qualificada, documentação necessária e alinhamento com estratégia jurídica definida previamente com advogados.	eventual
Discussão e direcionamento de casos jurídicos com advogada externa	Reunião de alinhamento com a advogada Malu para discussão de casos jurídicos em andamento ou demandas emergentes da vertical Alumni. Inclui análise de riscos, definição de estratégias processuais e orientações sobre conformidade legal. Garante que questões jurídicas sejam tratadas com expertise especializada e direcionamento adequado.	eventual
Confeccionar novos contratos jurídicos	Elaboração de novos instrumentos contratuais para formalização de relações comerciais, parcerias, prestação de serviços ou acordos diversos envolvendo a operação Alumni. A atividade assegura conformidade legal, proteção dos interesses da empresa e clareza das obrigações entre as partes.	eventual
Efetivação mensal de pagamentos de royalties Alumni	Processamento e execução dos pagamentos mensais de royalties devidos aos Alumni da operação, garantindo conformidade com os acordos estabelecidos e prazos contratuais. Envolve validação de valores, aprovação de lançamentos financeiros e confirmação de transferências realizadas.	mensal
Resolver casos pendentes de ex-alunos Alumni	Atividade eventual de tratamento de demandas e pendências levantadas por alunos que já concluíram ou interromperam jornada na Alumni. Envolve diagnóstico do caso, articulação com áreas internas, comunicação com o ex-aluno e registro de solução para histórico e aprendizado organizacional.	eventual
Prestar suporte e treinamento do Clint para Alumni	Oferecer suporte operacional e capacitação no uso da plataforma Clint (CRM/ferramenta de gestão) para membros da comunidade Alumni. Inclui resolução de dúvidas, orientação sobre funcionalidades e treinamentos pontuais para garantir autonomia e engajamento dos ex-alunos na ferramenta.	eventual
Conferir disponibilidade e links das salas Zoom	Verificação diária manual de todas as contas Zoom da operação (aproximadamente 30 contas institucionais por nível/professor + contas individuais de alunos private) para garantir que os links estejam ativos, acessíveis e corretamente configurados. Essencial para evitar interrupções em aulas ao vivo e sessões de mentoria.	diaria
Verificar disponibilidade e navegação do portal do aluno	Conferência diária da saúde operacional do portal do aluno, simulando jornadas críticas de navegação para garantir que todos os recursos estejam acessíveis e funcionais. Permite identificar proativamente bugs, lentidões ou indisponibilidades antes que impactem a experiência dos usuários reais.	diaria
Verificar disponibilidade de professores para alocação em turmas	Processo de consulta e validação da disponibilidade de horários dos professores do portal Alumni para permitir a alocação adequada em turmas e calendários de aula. Garante que apenas professores com disponibilidade confirmada sejam designados, evitando conflitos de agenda e garantindo a cobertura das necessidades pedagógicas.	eventual
Alocar professor para aluno novo (compatibilidade de perfil)	Processo de seleção e alocação de professor para aluno recém-ingressante no Portal Alumni, considerando compatibilidade de perfis, disponibilidade docente e características do estudante. Diferente do ciclo mensal de grade fixa, esta atividade é acionada sob demanda a cada entrada de novo aluno e exige análise individual de fit professor-aluno.	eventual
Alocar professor para aula private conforme requisição de horário do aluno	Processo de atendimento a requisições de horário enviadas por alunos do programa private. Consiste em verificar a disponibilidade de professores compatíveis com o horário solicitado e realizar a alocação, garantindo que o aluno tenha sua aula agendada com o docente adequado ao seu perfil e necessidades pedagógicas.	eventual
Contato inicial com novos leads (primeira abordagem)	Verificar diariamente os leads inbound distribuídos automaticamente pelo sistema Clint e realizar o primeiro contato oferecendo canais de atendimento (WhatsApp, ligação ou Zoom). Leads chegam via anúncios pagos e canais orgânicos sem prospecção ativa B2C.	diaria
Gerar e acompanhar contratos de venda	Processo de produção, envio e monitoramento de contratos formais para alunos alumni que solicitam formalização da compra. Inclui preenchimento de dados do aluno, geração do documento, envio para assinatura eletrônica e acompanhamento até conclusão. Ocorre sob demanda, geralmente após confirmação de interesse comercial.	eventual
Registrar vendas na planilha de metas e acompanhar emissão de NF	Lançamento sistemático de todas as vendas realizadas na planilha de controle de metas, incluindo dados do cliente, produto, valores e status de emissão de nota fiscal. Garante rastreabilidade das conversões e base confiável para análise de performance comercial e faturamento.	eventual
Ligação de áudio prioritária para destravar tratativas comerciais	Realização de chamada telefônica para clientes prioritários ou leads em situações que exigem intervenção direta para destravar negociações estagnadas. Inclui a tática de ligação encenada em dupla, onde um consultor liga para o lead do outro assumindo papel de área de suporte (financeiro/acadêmico/pedagógico) para gerar urgência e credibilidade na tratativa.	eventual
Realizar videochamada comercial com leads premium/private	Conduzir reunião comercial por vídeo com clientes qualificados nos segmentos premium (Alumni individual) e private (B2B corporativo). Essa modalidade de atendimento permite maior personalização, demonstração de valor e negociação consultiva, sendo especialmente estratégica para o segmento B2B onde 60-70% das tratativas ocorrem em formato síncrono por vídeo.	eventual
Consultoria Private Pós-Matrícula (Perfil 360)	Sessão de consultoria individual em vídeo realizada após a confirmação da matrícula do aluno Alumni. Compreende análise 360° do perfil acadêmico e profissional do estudante, seguida da construção colaborativa de um planejamento de estudos personalizado para maximizar aproveitamento do programa.	eventual
Negociação B2B por vídeo: análise de contrato e modelo de pagamento	Condução de reuniões remotas com empresas parceiras para discutir termos contratuais, esclarecer dúvidas sobre produtos/serviços e definir modelo de pagamento (empresa custeia diretamente ou atua como intermediária). Cada tratativa envolve análise de cenário comercial, adequação de proposta e validação de requisitos do cliente corporativo.	eventual
Solicitar emissão de NF para contratos B2B fechados	Requisitar ao financeiro a emissão de nota fiscal para contratos corporativos (B2B) recém-fechados pela equipe comercial. Garante a formalização fiscal da venda e viabiliza o faturamento junto ao cliente pessoa jurídica, cumprindo obrigações tributárias e contratuais.	eventual
Elaboração de campanhas tematicas e estratégias de reativação	Criação de campanhas temáticas, sazonais e de fechamento de meta para reativação de ex-alunos inativos. Inclui definição de estratégias, produção de textos persuasivos e disparo manual ou automatizado das comunicações. Foco em recuperar alunos da coluna 'Para Organizar' e 'Enviar Black' com condições comerciais pré-aprovadas pela diretoria.	semanal
Abordagem proativa de renovação de contratos Alumni	Contato comercial estruturado com clientes Alumni em janela de renovação contratual (30–45 dias antes do vencimento), executado em lote mensal. Visa antecipar negociações, mapear objeções e garantir continuidade da base ativa, com intensificação tática em períodos de pressão de meta.	mensal
Dar continuidade aos atendimentos comerciais em aberto	Retomada diária de conversas ativas com leads e prospects da vertical Alumni, garantindo que nenhuma oportunidade de venda seja perdida por falta de follow-up. Inclui resposta a mensagens recebidas fora do horário comercial e reativação de diálogos pausados.	diaria
Organização e priorização da carteira de clientes e oportunidades.	Revisão matinal da situação comercial (pipeline, metas, oportunidades) para definir prioridades e abordagem do dia. Inclui análise de resultados do dia anterior e ajustes táticos. Atividade individual que permite planejamento antecipado da semana seguinte.	diaria
Repescagem manual de clientes inativos, com abordagens personalizadas.	Identificação e contato individual com alunos Alumni que não interagem há determinado período, usando abordagem manual e personalizada para preservar relacionamento comercial. Realizada em micro-lotes diários para maximizar taxa de resposta sem comprometer percepção de valor do público pagante.	semanal
Recuperar clientes com pagamento pendente via link	Atividade de reengajamento comercial focada em leads que receberam link de pagamento mas não concluíram a transação. O vendedor realiza abordagem consultiva para identificar barreiras, esclarecer dúvidas e facilitar a conversão através de links pré-preenchidos que reduzem fricção no checkout.	diaria
Varredura Diária do Funil Invertido de Vendas Alumni	Revisão sistemática dos leads do programa Alumni percorrendo o funil de vendas de trás para frente (pagamento → retorno futuro → informação/preço → privado), priorizando oportunidades mais quentes e realizando limpeza de base durante o processo. A lógica de priorização coloca quem está mais próximo do pagamento no topo da atenção comercial.	diaria
Retomar tratativas de follow-up pré-proposta (Alumni)	Abordagem diária dos leads Alumni na coluna de follow-up do funil comercial. Consiste em retomar conversas com prospects que já manifestaram interesse mas ainda não receberam proposta comercial formal. O foco é qualificar necessidades, remover objeções e avançar o lead para a etapa de apresentação de proposta.	diaria
Tentativas de primeiro contato ativo com leads (3 ligações + 3 Mensagens)	Atividade de prospecção ativa para realizar o primeiro contato com leads qualificados da carteira Alumni. Consiste em tentativas de ligação telefônica combinadas com mensagens de texto, seguindo padrão mínimo de 3 ligações e 3 mensagens por lead/dia, distribuídas em blocos manhã e tarde. Diferencia-se da ligação reativa (por ocorrência) por ser uma ação prospectiva iniciada pelo SDR.	diaria
Produzir artes de campanha com IA (imagem e vídeo)	Criação sob demanda de peças visuais (estáticas e em vídeo) utilizando ferramentas de inteligência artificial para alimentar campanhas de marketing da vertical Alumni. Abrange desde briefing até entrega final otimizada para os canais de veiculação.	eventual
Formatar artes para landing pages B2B2C	Adaptar e formatar materiais visuais (banners, hero images, CTAs) para landing pages de produtos e serviços B2B2C da vertical Alumni. Garante identidade visual consistente, responsividade e otimização de conversão em páginas de captação comercial voltadas tanto para empresas quanto para usuários finais.	eventual
Formatar artes para landing pages de parceiros (embaixadores/influencers)	Adaptar e formatar peças gráficas para landing pages personalizadas de embaixadores e influenciadores da vertical Alumni. Garante identidade visual consistente e performance de conversão em campanhas de aquisição via parcerias.	eventual
Adaptar artes para formatos de mídia paga (Alumni)	Adequação técnica de peças criativas já aprovadas para os requisitos específicos de plataformas de anúncios pagos (Meta Ads, Google Ads, LinkedIn, etc.). Envolve redimensionamento, ajuste de resolução, peso de arquivo e especificações de cada canal. Atividade pontual acionada conforme demanda de novas campanhas ou variações de teste.	eventual
Formatar artes para ações comerciais B2B	Adaptar e formatar materiais gráficos (apresentações, banners, peças digitais) para ações comerciais direcionadas a clientes corporativos da vertical Alumni. Garante identidade visual consistente e alinhamento com diretrizes da marca em contextos B2B.	eventual
Formatar artes impressas para ações de marketing alumni	Preparar e formatar materiais gráficos para impressão destinados a ações de marketing voltadas ao público alumni (ex-alunos). Inclui adequar layout, definir especificações técnicas de impressão e garantir conformidade com identidade visual da marca para peças como banners, folhetos, cartazes e materiais de eventos.	eventual
Editar vídeos com ferramentas de IA generativa	Produção e edição de vídeos utilizando ferramentas de inteligência artificial para otimizar processos de corte, legendagem, transcrição e efeitos visuais. Aplicada em conteúdos de marketing para alumni, campanhas de aquisição e materiais promocionais da EdTech.	eventual
Publicar conteúdo diário nas redes sociais	Publicação diária de conteúdos estratégicos nas redes sociais da vertical Alumni para engajamento, atração e relacionamento com ex-alunos e prospects. Garante presença digital consistente e reforça o posicionamento da marca no ecossistema educacional.	diaria
Moderação e resposta a comentários nas redes sociais	Monitoramento contínuo dos comentários publicados nos canais sociais da vertical Alumni, garantindo respostas ágeis e alinhadas à voz da marca. Inclui identificação de leads qualificados, gestão de crises e encaminhamento de dúvidas para áreas especializadas.	diaria
Produzir artigos para blog institucional (quinzenal)	Criar e publicar artigos otimizados para SEO no blog do site institucional, focados em temas de interesse da vertical Alumni (carreira, empregabilidade, lifelong learning, histórias de sucesso). O conteúdo visa atrair tráfego orgânico, nutrir leads e fortalecer autoridade da marca no ecossistema educacional.	quinzenal
Planejamento e Produção Quinzenal de Conteúdo para Redes Sociais Alumni	Criação e organização estratégica do calendário de conteúdo para redes sociais da vertical Alumni. Engloba definição de temas, produção de peças criativas e agendamento de publicações alinhadas aos objetivos comerciais de retenção e engajamento de ex-alunos.	quinzenal
Publicar artigos no blog corporativo com SEO otimizado	Produção e publicação quinzenal de conteúdo editorial no blog institucional da Better Edtech, garantindo aplicação de boas práticas de SEO on-page para maximizar visibilidade orgânica e posicionamento nos mecanismos de busca. Inclui upload, formatação, parametrização de metadados e validação técnica antes da publicação.	quinzenal
Revisão acadêmica de artigos para blog institucional	Revisão técnica e acadêmica de artigos propostos para publicação no blog institucional da vertical Alumni. Garante rigor conceitual, alinhamento com abordagem pedagógica da Better Edtech e qualidade editorial antes da publicação. Foco em conteúdo que posiciona a marca como autoridade em educação e carreira.	quinzenal
Relacionamento com rádios parceiras B2B ativas	Manutenção do relacionamento comercial e operacional com rádios parceiras que promovem os produtos da EdTech para suas audiências. Inclui alinhamento de expectativas, atualização de materiais promocionais e acompanhamento de resultados da parceria. Garante que o canal de divulgação permaneça ativo e engajado com as ofertas.	eventual
Reativação de Colaboradores em Parcerias B2B2C	Processo diário de identificação e reengajamento de colaboradores inativos nas parcerias corporativas com modelo de receita por ativo. Foca em restaurar o acesso e estimular retorno ao consumo de conteúdo/plataforma, gerando receita recorrente para a EdTech e valor para a empresa parceira.	mensal
Auditoria de Qualidade do Atendimento Pedagógico e Apuração de KPIs	Análise diária da qualidade das interações pedagógicas realizadas via WhatsApp, validando nomenclatura, títulos, respostas e status de casos abertos. Inclui verificação de atendimentos a candidatos do processo seletivo e alunos private. Destina-se a garantir padrão de excelência no suporte pedagógico e alimentar indicadores de desempenho da área.	diaria
Elaborar cronograma mensal de plantão de atendimento aos sábados	Criação e publicação do cronograma de rodízio para plantões de atendimento aos sábados, alternando semanalmente entre os atendentes Ariane e Val. O cronograma garante cobertura contínua do suporte aos alunos alumni em finais de semana, mantendo escala justa e previsibilidade operacional.	mensal
Auditoria de Qualidade de Atendimento CX e KPIs	Avaliação sistemática de amostra semanal de atendimentos realizados pela equipe de suporte aos alunos, com foco em adequação da resposta, tom, completude, tempo de resposta e pontuação. Gera insumos para calibração de padrões de atendimento e apuração de indicadores de qualidade do relacionamento com o cliente.	eventual
Calcular Folha de Pagamento de Professores	Calcular e lançar horas trabalhadas, ausências e descontos aplicáveis para pagamento mensal dos professores. Garante acuracidade dos valores a serem pagos com base em registros de frequência, carga horária contratada e políticas de desconto vigentes.	mensal
Suporte operacional a professores (faltas e reagendamentos)	Atendimento e resolução de demandas operacionais de professores relacionadas a ausências, substituições e reagendamentos de aulas. Garante continuidade do calendário acadêmico e mínimo de impacto na experiência dos alunos. Atua como ponte entre corpo docente e operação acadêmica.	eventual
Apoio pedagógico presencial a professores em sala de aula	Suporte especializado presencial prestado pela equipe acadêmica a professores durante aulas, visando resolver dificuldades pedagógicas, técnicas ou de gestão de turma em tempo real. Ação sob demanda para garantir qualidade da experiência de ensino-aprendizagem e desenvolvimento contínuo do corpo docente.	eventual
